Title	Authors	File
Influences on the Social Practices Surrounding Commercial Music Services: A Model for Rich Interactions	Louis Spinelli, Josephine Lau, Liz Pritchard, Jin Ha Lee	52_Paper.pdf
Investigating Cross-Country Relationship between Users' Social Ties and Music Mainstreaminess	Christine Bauer, Markus Schedl	130_Paper.pdf
Listener Anonymizer: Camouflaging Play Logs to Preserve User's Demographic Anonymity	Kosetsu Tsukuda, Satoru Fukayama, Masataka Goto	78_Paper.pdf
On the Impact of Music on Decision Making in Cooperative Tasks	Elad Liebman, Corey N. White, Peter Stone	298_Paper.pdf
VenueRank: Identifying Venues that Contribute to Artist Popularity	Emmanouil Krasanakis, Emmanouil Schinas, Symeon Papadopoulos, Yiannis Kompatsiaris, Pericles Mitkas	91_Paper.pdf
The Many Faces of Users: Modeling Musical Preference	Eva Zangerle, Martin Pichl	128_Paper.pdf
Representation Learning of Music Using Artist Labels	Jiyoung Park, Jongpil Lee, Jangyeon Park, Jung-Woo Ha, Juhan Nam	168_Paper.pdf
StructureNet: Inducing Structure in Generated Melodies	Gabriele Medeot, Srikanth Cherla, Katerina Kosta, Matt McVicar, Samer Abdallah, Marco Selvi, Ed Newton-Rex, Kevin Webster	126_Paper.pdf
Summarizing and Comparing Music Data and Its Application on Cover Song Identification	Diego Furtado Silva, Felipe Falcão, Nazareno Andrade	36_Paper.pdf
Transferring the Style of Homophonic Music Using Recurrent Neural Networks and Autoregressive Model	Wei Tsung Lu, Li Su	107_Paper.pdf
MIDI-VAE: Modeling Dynamics and Instrumentation of Music with Applications to Style Transfer	Gino Brunner, Andres Konrad, Yuyi Wang, Roger Wattenhofer	204_Paper.pdf
Understanding a Deep Machine Listening Model Through Feature Inversion	Saumitra Mishra, Bob L. Sturm, Simon Dixon	272_Paper.pdf
Comparing RNN Parameters for Melodic Similarity	Tian Cheng, Satoru Fukayama, Masataka Goto	61_Paper.pdf
Visualization of audio data using stacked graphs	Mathieu Lagrange, Mathias Rossignol, Grégoire Lafay	96_Paper.pdf
Two web applications for exploring melodic patterns in jazz solos	Klaus Frieler, Frank Höger, Martin Pfleiderer, Simon Dixon	177_Paper.pdf
Learning to Listen, Read, and Follow: Score Following as a Reinforcement Learning Game	Matthias Dorfer, Florian Henkel, Gerhard Widmer	45_Paper.pdf
Matrix Co-Factorization for Cold-Start Recommendation	Olivier Gouvert, Thomas Oberlin, Cédric Févotte	142_Paper.pdf
